
Host: node47.bme.utexas.edu

Timers On : Tue Mar  3 18:02:00 2020
Timers Off: Tue Mar  3 18:19:26 2020

Wall Time:     1046.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Qia Write                     :      0.233u      3.400s      2.147w      1 calls
DFMP2 Energy                        :   2746.917u      5.600s    279.673w      1 calls
DFMP2 Qia Read                      :      1.717u      1.550s      1.963w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.383u      0.267s      0.820w      1 calls
JK: (A|mn)                          :   1458.050u      0.100s    145.991w      1 calls
JK: (A|Q)^-1/2                      :    279.883u      2.567s     28.327w      1 calls
JK: (Q|mn)                          :   1236.167u      0.783s    124.519w      1 calls
HF: Form core H                     :      0.450u      0.033s      0.052w      1 calls
HF: Form S/X                        :      2.933u      0.033s      0.296w      1 calls
HF: Guess                           :      8.333u      0.250s      0.860w      1 calls
| SAD Guess                         :      8.167u      0.250s      0.843w      1 calls
HF: Form G                          :   4276.067u     24.350s    450.671w     15 calls
| JK: D                             :      0.483u      0.000s      0.049w     15 calls
| JK: USO2AO                        :      0.283u      0.017s      0.028w     15 calls
| JK: JK                            :   4274.750u     24.333s    450.540w     15 calls
| | JK: J                           :    113.067u      0.850s     11.469w     30 calls
| | | JK: J1                        :     57.300u      0.450s      5.796w     30 calls
| | | JK: J2                        :     54.617u      0.350s      5.507w     30 calls
| | JK: K                           :   4112.867u      2.433s    413.803w     30 calls
| | | JK: K1                        :   2382.583u      0.683s    238.717w     30 calls
| | | JK: K2                        :   1730.017u      1.750s    175.063w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.250u      0.000s      0.026w     15 calls
HF: Form D                          :      0.467u      0.000s      0.046w     15 calls
HF: DIIS                            :     17.683u      1.250s      1.896w     14 calls
| DIISManager::add_entry            :      1.517u      0.283s      0.182w     14 calls
| DIISManager::extrapolate          :      5.233u      0.900s      0.612w     14 calls
| | bMatrix setup                   :      2.667u      0.567s      0.315w     14 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     14 calls
| | New vector                      :      2.550u      0.333s      0.296w     14 calls
HF: Form C                          :     46.400u      0.667s      4.713w     14 calls
DFMP2 Singles                       :      0.450u      0.000s      0.045w      1 calls
DFMP2 Aia                           :   1132.483u     10.333s    128.855w      1 calls
| DFMP2 (A|mn)                      :    941.300u      0.717s     94.326w      3 calls
| DFMP2 (A|mn)C_mi                  :     92.917u      0.267s      9.333w      3 calls
| DFMP2 (A|mi)C_na                  :     72.417u      0.100s      7.261w      3 calls
| DFMP2 Aia Write                   :      3.700u      4.317s      2.616w      3 calls
DFMP2 Qia                           :    612.717u      9.600s     66.777w      1 calls
| DFMP2 Metric                      :    278.483u      2.567s     28.310w      1 calls
| DFMP2 Aia Read                    :      0.000u      1.517s      0.914w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    331.217u      0.050s     33.370w      1 calls
| DFMP2 Qia Write                   :      0.233u      3.400s      2.147w      1 calls
DFMP2 Energy                        :   2746.917u      5.600s    279.673w      1 calls
| DFMP2 Qia Read                    :      1.717u      1.550s      1.963w      2 calls

**************************************************************************************

Host: node43.bme.utexas.edu

Timers On : Tue Mar  3 17:56:34 2020
Timers Off: Tue Mar  3 18:18:45 2020

Wall Time:     1330.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.517u      0.300s      0.868w      1 calls
JK: (A|mn)                          :   1327.667u      0.150s    132.794w      1 calls
JK: (A|Q)^-1/2                      :    290.017u      4.267s     29.491w      1 calls
JK: (Q|mn)                          :   1408.500u      1.150s    140.989w      1 calls
HF: Form core H                     :      0.550u      0.050s      0.064w      1 calls
HF: Form S/X                        :      2.633u      0.117s      0.276w      1 calls
HF: Guess                           :      8.733u      0.433s      0.917w      1 calls
SAD Guess                           :      8.517u      0.417s      0.893w      1 calls
HF: Form G                          :   4802.967u     27.900s    498.780w     15 calls
JK: D                               :      0.583u      0.033s      0.063w     15 calls
JK: USO2AO                          :      0.417u      0.050s      0.043w     15 calls
JK: JK                              :   4801.300u     27.767s    498.599w     15 calls
JK: J                               :    151.250u      1.250s     15.330w     30 calls
JK: J1                              :     76.583u      0.783s      7.737w     30 calls
JK: J2                              :     73.233u      0.317s      7.359w     30 calls
JK: K                               :   4610.383u      5.417s    463.292w     30 calls
JK: K1                              :   2736.817u      2.050s    273.922w     30 calls
JK: K2                              :   1873.133u      3.333s    189.324w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.283u      0.017s      0.032w     15 calls
HF: Form D                          :      0.533u      0.017s      0.057w     15 calls
HF: DIIS                            :     20.817u      1.817s      2.269w     14 calls
DIISManager::add_entry              :      1.467u      0.317s      0.175w     14 calls
DIISManager::extrapolate            :      6.267u      1.233s      0.751w     14 calls
bMatrix setup                       :      3.033u      0.700s      0.375w     14 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.002w     14 calls
New vector                          :      3.183u      0.533s      0.373w     14 calls
HF: Form C                          :     45.867u      1.283s      4.704w     14 calls
DFMP2 Singles                       :      0.817u      0.033s      0.088w      1 calls
DFMP2 Aia                           :    959.417u      9.650s    109.805w      1 calls
DFMP2 (A|mn)                        :    757.583u      0.167s     75.789w      3 calls
DFMP2 (A|mn)C_mi                    :     98.150u      0.217s      9.838w      3 calls
DFMP2 (A|mi)C_na                    :     81.433u      0.117s      8.282w      3 calls
DFMP2 Aia Write                     :      3.050u      3.517s      1.978w      3 calls
DFMP2 Qia                           :    722.700u     11.783s     78.469w      1 calls
DFMP2 Metric                        :    348.767u      3.333s     35.392w      1 calls
DFMP2 Aia Read                      :      0.050u      1.633s      1.011w      1 calls
DFMP2 (Q|A)(A|ia)                   :    370.933u      0.150s     37.164w      1 calls
DFMP2 Qia Write                     :      0.367u      4.317s      2.589w      1 calls
DFMP2 Energy                        :   3083.483u      8.867s    315.231w      1 calls
DFMP2 Qia Read                      :      2.533u      2.683s      3.130w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.517u      0.300s      0.868w      1 calls
JK: (A|mn)                          :   1327.667u      0.150s    132.794w      1 calls
JK: (A|Q)^-1/2                      :    290.017u      4.267s     29.491w      1 calls
JK: (Q|mn)                          :   1408.500u      1.150s    140.989w      1 calls
HF: Form core H                     :      0.550u      0.050s      0.064w      1 calls
HF: Form S/X                        :      2.633u      0.117s      0.276w      1 calls
HF: Guess                           :      8.733u      0.433s      0.917w      1 calls
| SAD Guess                         :      8.517u      0.417s      0.893w      1 calls
HF: Form G                          :   4802.967u     27.900s    498.780w     15 calls
| JK: D                             :      0.583u      0.033s      0.063w     15 calls
| JK: USO2AO                        :      0.417u      0.050s      0.043w     15 calls
| JK: JK                            :   4801.300u     27.767s    498.599w     15 calls
| | JK: J                           :    151.250u      1.250s     15.330w     30 calls
| | | JK: J1                        :     76.583u      0.783s      7.737w     30 calls
| | | JK: J2                        :     73.233u      0.317s      7.359w     30 calls
| | JK: K                           :   4610.383u      5.417s    463.292w     30 calls
| | | JK: K1                        :   2736.817u      2.050s    273.922w     30 calls
| | | JK: K2                        :   1873.133u      3.333s    189.324w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.283u      0.017s      0.032w     15 calls
HF: Form D                          :      0.533u      0.017s      0.057w     15 calls
HF: DIIS                            :     20.817u      1.817s      2.269w     14 calls
| DIISManager::add_entry            :      1.467u      0.317s      0.175w     14 calls
| DIISManager::extrapolate          :      6.267u      1.233s      0.751w     14 calls
| | bMatrix setup                   :      3.033u      0.700s      0.375w     14 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.002w     14 calls
| | New vector                      :      3.183u      0.533s      0.373w     14 calls
HF: Form C                          :     45.867u      1.283s      4.704w     14 calls
DFMP2 Singles                       :      0.817u      0.033s      0.088w      1 calls
DFMP2 Aia                           :    959.417u      9.650s    109.805w      1 calls
| DFMP2 (A|mn)                      :    757.583u      0.167s     75.789w      3 calls
| DFMP2 (A|mn)C_mi                  :     98.150u      0.217s      9.838w      3 calls
| DFMP2 (A|mi)C_na                  :     81.433u      0.117s      8.282w      3 calls
| DFMP2 Aia Write                   :      3.050u      3.517s      1.978w      3 calls
DFMP2 Qia                           :    722.700u     11.783s     78.469w      1 calls
| DFMP2 Metric                      :    348.767u      3.333s     35.392w      1 calls
| DFMP2 Aia Read                    :      0.050u      1.633s      1.011w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    370.933u      0.150s     37.164w      1 calls
| DFMP2 Qia Write                   :      0.367u      4.317s      2.589w      1 calls
DFMP2 Energy                        :   3083.483u      8.867s    315.231w      1 calls
| DFMP2 Qia Read                    :      2.533u      2.683s      3.130w      2 calls

**************************************************************************************

Host: node46.bme.utexas.edu

Timers On : Tue Mar  3 18:01:59 2020
Timers Off: Tue Mar  3 18:24:10 2020

Wall Time:     1331.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.500u      0.400s      0.891w      1 calls
JK: (A|mn)                          :   1795.633u      0.150s    179.801w      1 calls
JK: (A|Q)^-1/2                      :    267.167u      2.517s     27.129w      1 calls
JK: (Q|mn)                          :   1133.067u      1.267s    113.709w      1 calls
HF: Form core H                     :      0.500u      0.017s      0.057w      1 calls
HF: Form S/X                        :      2.967u      0.033s      0.301w      1 calls
HF: Guess                           :      8.100u      0.283s      0.839w      1 calls
SAD Guess                           :      7.933u      0.267s      0.823w      1 calls
HF: Form G                          :   4005.350u    160.833s    503.719w     15 calls
JK: D                               :      0.550u      0.000s      0.051w     15 calls
JK: USO2AO                          :      0.283u      0.017s      0.030w     15 calls
JK: JK                              :   4004.017u    160.817s    503.579w     15 calls
JK: J                               :     99.367u      0.717s     10.138w     30 calls
JK: J1                              :     46.250u      0.433s      4.739w     30 calls
JK: J2                              :     51.933u      0.267s      5.231w     30 calls
JK: K                               :   3854.067u      2.650s    387.804w     30 calls
JK: K1                              :   2145.367u      0.717s    215.018w     30 calls
JK: K2                              :   1708.500u      1.900s    172.763w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.267u      0.017s      0.028w     15 calls
HF: Form D                          :      0.450u      0.000s      0.047w     15 calls
HF: DIIS                            :     18.483u      1.317s      1.982w     14 calls
DIISManager::add_entry              :      1.600u      0.283s      0.193w     14 calls
DIISManager::extrapolate            :      5.517u      0.933s      0.644w     14 calls
bMatrix setup                       :      2.750u      0.600s      0.337w     14 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     14 calls
New vector                          :      2.733u      0.333s      0.305w     14 calls
HF: Form C                          :     47.433u      0.683s      4.817w     14 calls
DFMP2 Singles                       :      0.500u      0.000s      0.050w      1 calls
DFMP2 Aia                           :   1130.067u     23.367s    138.843w      1 calls
DFMP2 (A|mn)                        :    928.567u      0.767s     93.058w      3 calls
DFMP2 (A|mn)C_mi                    :     99.567u      0.217s      9.994w      3 calls
DFMP2 (A|mi)C_na                    :     71.533u      0.217s      7.192w      3 calls
DFMP2 Aia Write                     :      3.967u      4.067s      2.420w      3 calls
DFMP2 Qia                           :    602.733u     10.667s     66.036w      1 calls
DFMP2 Metric                        :    272.733u      3.117s     27.788w      1 calls
DFMP2 Aia Read                      :      0.017u      1.800s      1.089w      1 calls
DFMP2 (Q|A)(A|ia)                   :    326.633u      0.083s     32.799w      1 calls
DFMP2 Qia Write                     :      0.383u      3.533s      2.251w      1 calls
DFMP2 Energy                        :   2685.883u      7.317s    274.563w      1 calls
DFMP2 Qia Read                      :      2.500u      1.667s      2.515w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.500u      0.400s      0.891w      1 calls
JK: (A|mn)                          :   1795.633u      0.150s    179.801w      1 calls
JK: (A|Q)^-1/2                      :    267.167u      2.517s     27.129w      1 calls
JK: (Q|mn)                          :   1133.067u      1.267s    113.709w      1 calls
HF: Form core H                     :      0.500u      0.017s      0.057w      1 calls
HF: Form S/X                        :      2.967u      0.033s      0.301w      1 calls
HF: Guess                           :      8.100u      0.283s      0.839w      1 calls
| SAD Guess                         :      7.933u      0.267s      0.823w      1 calls
HF: Form G                          :   4005.350u    160.833s    503.719w     15 calls
| JK: D                             :      0.550u      0.000s      0.051w     15 calls
| JK: USO2AO                        :      0.283u      0.017s      0.030w     15 calls
| JK: JK                            :   4004.017u    160.817s    503.579w     15 calls
| | JK: J                           :     99.367u      0.717s     10.138w     30 calls
| | | JK: J1                        :     46.250u      0.433s      4.739w     30 calls
| | | JK: J2                        :     51.933u      0.267s      5.231w     30 calls
| | JK: K                           :   3854.067u      2.650s    387.804w     30 calls
| | | JK: K1                        :   2145.367u      0.717s    215.018w     30 calls
| | | JK: K2                        :   1708.500u      1.900s    172.763w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.267u      0.017s      0.028w     15 calls
HF: Form D                          :      0.450u      0.000s      0.047w     15 calls
HF: DIIS                            :     18.483u      1.317s      1.982w     14 calls
| DIISManager::add_entry            :      1.600u      0.283s      0.193w     14 calls
| DIISManager::extrapolate          :      5.517u      0.933s      0.644w     14 calls
| | bMatrix setup                   :      2.750u      0.600s      0.337w     14 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     14 calls
| | New vector                      :      2.733u      0.333s      0.305w     14 calls
HF: Form C                          :     47.433u      0.683s      4.817w     14 calls
DFMP2 Singles                       :      0.500u      0.000s      0.050w      1 calls
DFMP2 Aia                           :   1130.067u     23.367s    138.843w      1 calls
| DFMP2 (A|mn)                      :    928.567u      0.767s     93.058w      3 calls
| DFMP2 (A|mn)C_mi                  :     99.567u      0.217s      9.994w      3 calls
| DFMP2 (A|mi)C_na                  :     71.533u      0.217s      7.192w      3 calls
| DFMP2 Aia Write                   :      3.967u      4.067s      2.420w      3 calls
DFMP2 Qia                           :    602.733u     10.667s     66.036w      1 calls
| DFMP2 Metric                      :    272.733u      3.117s     27.788w      1 calls
| DFMP2 Aia Read                    :      0.017u      1.800s      1.089w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    326.633u      0.083s     32.799w      1 calls
| DFMP2 Qia Write                   :      0.383u      3.533s      2.251w      1 calls
DFMP2 Energy                        :   2685.883u      7.317s    274.563w      1 calls
| DFMP2 Qia Read                    :      2.500u      1.667s      2.515w      2 calls

**************************************************************************************

Host: node45.bme.utexas.edu

Timers On : Tue Mar  3 18:01:57 2020
Timers Off: Tue Mar  3 18:24:16 2020

Wall Time:     1339.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.500u      0.350s      0.884w      1 calls
JK: (A|mn)                          :   1489.800u      0.117s    149.173w      1 calls
JK: (A|Q)^-1/2                      :    268.800u      2.450s     27.279w      1 calls
JK: (Q|mn)                          :   1171.767u      1.700s    117.706w      1 calls
HF: Form core H                     :      0.533u      0.017s      0.059w      1 calls
HF: Form S/X                        :      3.017u      0.050s      0.307w      1 calls
HF: Guess                           :      8.617u      0.283s      0.893w      1 calls
SAD Guess                           :      8.450u      0.267s      0.876w      1 calls
HF: Form G                          :   4193.850u    193.767s    539.350w     15 calls
JK: D                               :      0.450u      0.000s      0.047w     15 calls
JK: USO2AO                          :      0.283u      0.033s      0.028w     15 calls
JK: JK                              :   4192.567u    193.733s    539.213w     15 calls
JK: J                               :     93.850u      0.600s      9.509w     30 calls
JK: J1                              :     41.817u      0.367s      4.223w     30 calls
JK: J2                              :     51.050u      0.183s      5.137w     30 calls
JK: K                               :   4049.583u      2.850s    407.968w     30 calls
JK: K1                              :   2353.200u      0.917s    235.832w     30 calls
JK: K2                              :   1696.117u      1.933s    172.115w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.250u      0.000s      0.027w     15 calls
HF: Form D                          :      0.417u      0.000s      0.044w     15 calls
HF: DIIS                            :     18.167u      1.300s      1.954w     14 calls
DIISManager::add_entry              :      1.583u      0.283s      0.184w     14 calls
DIISManager::extrapolate            :      5.300u      0.883s      0.618w     14 calls
bMatrix setup                       :      2.650u      0.533s      0.322w     14 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.001w     14 calls
New vector                          :      2.600u      0.350s      0.295w     14 calls
HF: Form C                          :     45.733u      0.600s      4.639w     14 calls
DFMP2 Singles                       :      0.433u      0.017s      0.044w      1 calls
DFMP2 Aia                           :   1084.883u     23.567s    135.811w      1 calls
DFMP2 (A|mn)                        :    884.967u      0.250s     88.650w      3 calls
DFMP2 (A|mn)C_mi                    :     96.833u      0.133s      9.710w      3 calls
DFMP2 (A|mi)C_na                    :     70.983u      0.017s      7.111w      3 calls
DFMP2 Aia Write                     :      4.450u      3.800s      2.402w      3 calls
DFMP2 Qia                           :    603.167u      9.917s     66.172w      1 calls
DFMP2 Metric                        :    273.517u      2.783s     27.834w      1 calls
DFMP2 Aia Read                      :      0.017u      1.350s      0.815w      1 calls
DFMP2 (Q|A)(A|ia)                   :    325.167u      0.133s     32.589w      1 calls
DFMP2 Qia Write                     :      0.550u      3.383s      2.171w      1 calls
DFMP2 Energy                        :   2680.900u      6.683s    274.517w      1 calls
DFMP2 Qia Read                      :      2.483u      1.633s      2.469w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.500u      0.350s      0.884w      1 calls
JK: (A|mn)                          :   1489.800u      0.117s    149.173w      1 calls
JK: (A|Q)^-1/2                      :    268.800u      2.450s     27.279w      1 calls
JK: (Q|mn)                          :   1171.767u      1.700s    117.706w      1 calls
HF: Form core H                     :      0.533u      0.017s      0.059w      1 calls
HF: Form S/X                        :      3.017u      0.050s      0.307w      1 calls
HF: Guess                           :      8.617u      0.283s      0.893w      1 calls
| SAD Guess                         :      8.450u      0.267s      0.876w      1 calls
HF: Form G                          :   4193.850u    193.767s    539.350w     15 calls
| JK: D                             :      0.450u      0.000s      0.047w     15 calls
| JK: USO2AO                        :      0.283u      0.033s      0.028w     15 calls
| JK: JK                            :   4192.567u    193.733s    539.213w     15 calls
| | JK: J                           :     93.850u      0.600s      9.509w     30 calls
| | | JK: J1                        :     41.817u      0.367s      4.223w     30 calls
| | | JK: J2                        :     51.050u      0.183s      5.137w     30 calls
| | JK: K                           :   4049.583u      2.850s    407.968w     30 calls
| | | JK: K1                        :   2353.200u      0.917s    235.832w     30 calls
| | | JK: K2                        :   1696.117u      1.933s    172.115w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.250u      0.000s      0.027w     15 calls
HF: Form D                          :      0.417u      0.000s      0.044w     15 calls
HF: DIIS                            :     18.167u      1.300s      1.954w     14 calls
| DIISManager::add_entry            :      1.583u      0.283s      0.184w     14 calls
| DIISManager::extrapolate          :      5.300u      0.883s      0.618w     14 calls
| | bMatrix setup                   :      2.650u      0.533s      0.322w     14 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.001w     14 calls
| | New vector                      :      2.600u      0.350s      0.295w     14 calls
HF: Form C                          :     45.733u      0.600s      4.639w     14 calls
DFMP2 Singles                       :      0.433u      0.017s      0.044w      1 calls
DFMP2 Aia                           :   1084.883u     23.567s    135.811w      1 calls
| DFMP2 (A|mn)                      :    884.967u      0.250s     88.650w      3 calls
| DFMP2 (A|mn)C_mi                  :     96.833u      0.133s      9.710w      3 calls
| DFMP2 (A|mi)C_na                  :     70.983u      0.017s      7.111w      3 calls
| DFMP2 Aia Write                   :      4.450u      3.800s      2.402w      3 calls
DFMP2 Qia                           :    603.167u      9.917s     66.172w      1 calls
| DFMP2 Metric                      :    273.517u      2.783s     27.834w      1 calls
| DFMP2 Aia Read                    :      0.017u      1.350s      0.815w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    325.167u      0.133s     32.589w      1 calls
| DFMP2 Qia Write                   :      0.550u      3.383s      2.171w      1 calls
DFMP2 Energy                        :   2680.900u      6.683s    274.517w      1 calls
| DFMP2 Qia Read                    :      2.483u      1.633s      2.469w      2 calls

**************************************************************************************

Host: node40.bme.utexas.edu

Timers On : Tue Mar  3 18:01:48 2020
Timers Off: Tue Mar  3 18:25:29 2020

Wall Time:     1420.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
